# Claro-deployed vendor OUI blocks - PUBLIC IEEE registry data, NOT credentials.
# claro_wpa_key.py reads this to label a gateway's likely maker and to flag
# split-OUI units. Contribute a row via pull request - see CONTRIBUTING.md.
#
#   oui     first 3 octets, uppercase, colon-separated (e.g. 74:3A:EF)
#   vendor  maker name (best-effort is fine)
#   split   'yes' ONLY for the router-side OUI of a split-OUI gateway, where the
#           Wi-Fi radio is a different block than the modem that keys the password
#           (so BSSID octet 3 is NOT the leading byte). Leave blank otherwise.
#
# Do NOT add passwords, full home BSSID+SSID pairs, GPS, or captures here.
oui,vendor,split
74:3A:EF,Kaon,
84:01:12,Kaon,
98:77:E7,Kaon,
18:34:AF,Kaon,
24:E4:CE,Kaon,
6C:55:E8,Kaon,
C8:5D:38,Humax,
D8:6C:5A,Humax,
8C:44:4F,Humax,
68:02:B8,Compal,
B4:F2:67,Compal,
CC:58:30,Sagemcom,
F0:81:75,Sagemcom,
D8:31:39,ZTE,
7C:7D:21,ZTE,
48:4B:D4,ZTE,
14:CA:56,ZTE,
F8:D2:AC,Vantiva/Technicolor,
CC:75:E2,Vantiva/Technicolor,
F4:E8:4F,Vantiva/Technicolor,
E4:4E:12,Vantiva/Technicolor,
08:A7:C0,Technicolor,
84:0B:BB,MitraStar,
90:AA:C3,Hitron,
A8:70:5D,Arris/CommScope modem,
C8:52:61,Arris/CommScope router,yes

# --- Added 2026-09-04 from a metro WiGLE survey (deduped default-CLARO_ gateways).
#     OUI->vendor via the public IEEE registry (Wireshark manuf). Vendor labels only;
#     split-OUI status is unverified for these (can't be seen from a beacon), left blank.
10:93:97,Arris/CommScope,
78:6A:1F,Arris/CommScope,
A8:97:CD,Arris/CommScope,
78:32:1B,D-Link,
00:E4:06,Huawei,
30:C5:0F,Huawei,
34:58:40,Huawei,
6C:44:2A,Huawei,
88:89:2F,Huawei,
A4:17:8B,Huawei,
B8:5F:B0,Huawei,
BC:76:C5,Huawei,
C4:FB:AA,Huawei,
CC:B1:82,Huawei,
F8:2E:3F,Huawei,
24:FD:0D,Intelbras,
D8:36:5F,Intelbras,
98:39:10,Kaon,
00:CB:51,Sagemcom,
20:35:43,Sagemcom,
20:9A:7D,Sagemcom,
20:B8:2B,Sagemcom,
30:93:BC,Sagemcom,
34:49:5B,Sagemcom,
34:53:D2,Sagemcom,
38:A6:59,Sagemcom,
3C:58:5D,Sagemcom,
44:15:24,Sagemcom,
44:D4:54,Sagemcom,
48:29:52,Sagemcom,
4C:19:5D,Sagemcom,
54:47:CC,Sagemcom,
58:2F:F7,Sagemcom,
5C:FA:25,Sagemcom,
64:7B:1E,Sagemcom,
64:FA:2B,Sagemcom,
64:FD:96,Sagemcom,
6C:BA:B8,Sagemcom,
80:20:DA,Sagemcom,
84:1E:A3,Sagemcom,
84:A0:6E,Sagemcom,
8C:9A:8F,Sagemcom,
8C:C5:B4,Sagemcom,
8C:FD:DE,Sagemcom,
94:3C:96,Sagemcom,
94:98:8F,Sagemcom,
98:1E:19,Sagemcom,
9C:24:72,Sagemcom,
A4:22:49,Sagemcom,
A8:6A:BB,Sagemcom,
AC:D7:5B,Sagemcom,
B0:92:4A,Sagemcom,
B0:BB:E5,Sagemcom,
B0:FC:88,Sagemcom,
B8:66:85,Sagemcom,
C0:3C:04,Sagemcom,
C4:EB:42,Sagemcom,
D0:57:94,Sagemcom,
D0:6D:C9,Sagemcom,
D0:6E:DE,Sagemcom,
D0:CF:0E,Sagemcom,
D8:33:B7,Sagemcom,
D8:CF:61,Sagemcom,
DC:92:72,Sagemcom,
E4:C0:E2,Sagemcom,
E8:D2:FF,Sagemcom,
EC:BE:DD,Sagemcom,
F8:08:4F,Sagemcom,
2C:D8:AE,SEI Robotics,
10:41:21,Tellescom,
28:87:BA,TP-Link,
50:3D:D1,TP-Link,
60:32:B1,TP-Link,
D8:47:32,TP-Link,
00:CB:7A,Vantiva/Technicolor,
08:C7:F5,Vantiva/Technicolor,
10:A7:93,Vantiva/Technicolor,
1C:9D:72,Vantiva/Technicolor,
3C:82:C0,Vantiva/Technicolor,
40:75:C3,Vantiva/Technicolor,
48:BD:CE,Vantiva/Technicolor,
5C:7D:7D,Vantiva/Technicolor,
80:DA:C2,Vantiva/Technicolor,
88:9E:68,Vantiva/Technicolor,
8C:6A:8D,Vantiva/Technicolor,
A0:B5:3C,Vantiva/Technicolor,
A0:FF:70,Vantiva/Technicolor,
B8:5E:71,Vantiva/Technicolor,
C4:50:9C,Vantiva/Technicolor,
CC:F3:C8,Vantiva/Technicolor,
D4:92:5E,Vantiva/Technicolor,
E4:BF:FA,Vantiva/Technicolor,
EC:A8:1F,Vantiva/Technicolor,
F4:C1:14,Vantiva/Technicolor,
10:3C:59,ZTE,
14:20:04,ZTE,
20:3A:EB,ZTE,
30:1F:48,ZTE,
38:16:5A,ZTE,
38:91:48,ZTE,
3C:F9:F0,ZTE,
48:96:D9,ZTE,
48:D6:82,ZTE,
58:72:C9,ZTE,
58:92:04,ZTE,
68:9E:29,ZTE,
6C:11:BA,ZTE,
80:2D:1A,ZTE,
84:3C:99,ZTE,
84:93:B2,ZTE,
9C:63:5B,ZTE,
B0:0A:D5,ZTE,
B0:C1:9E,ZTE,
B4:7C:A6,ZTE,
C0:B1:01,ZTE,
C4:EB:FF,ZTE,
CC:29:BD,ZTE,
D4:72:26,ZTE,
D8:9A:0D,ZTE,
D8:E8:44,ZTE,
DC:51:93,ZTE,
E8:43:68,ZTE,
F0:0C:51,ZTE,

# 2026-09-04 walk-through capture
C8:EA:F8,ZTE,
